cliente,nombre,Descripcion,Logo,small_logo,color,telefono,correo,descripcion_adicional
"COTEMAR, S.A. DE C.V.","INDUSTRIAL RRW, S.A. DE C.V.",,,,,,,
"COTEMAR, S.A. DE C.V.","IRALTUS, S.C.",,,,,,,
"COTEMAR, S.A. DE C.V.",ANA ISABEL ESCAMILLA PEREZ,,,,,,,
"COTEMAR, S.A. DE C.V.","SIMELIC, S.A. DE C.V.",,,,,,,
"COTEMAR, S.A. DE C.V.","LIFPA, S.A. DE C.V.",,,,,,,
"COTEMAR, S.A. DE C.V.","SERVICIOS Y SOLUCIONES UNIVERSALES, S.A. DE C.V.",,,,,,,
"COTEMAR, S.A. DE C.V.","GIB, S.A. DE C.V.",,,,,,,
"COTEMAR, S.A. DE C.V.",ERMILO GUADALUPE MARTINEZ LOPEZ,,,,,,,
"COTEMAR, S.A. DE C.V.","SERVICIOS SIANI, S.A. DE C.V.",,,,,,,
"COTEMAR, S.A. DE C.V.",CAROLINA SALVADOR AVILA,,,,,,,
"COTEMAR, S.A. DE C.V.",ESTEBAN MORENO GARAY,,,,,,,
"COTEMAR, S.A. DE C.V.","MULTISERVICIOS Y TELECOMUNICACIONES DEL SURESTE, S.A. DE C.V.",,,,,,,
"COTEMAR, S.A. DE C.V.","TORQUE Y MAQUINARIA DE MÉXICO, S.A. DE C.V.",,,,,,,
"COTEMAR, S.A. DE C.V.","MARINE DIESEL POWER COMPONENTS, S.A. DE C.V.",,,,,,,
"COTEMAR, S.A. DE C.V.","BOMBAS SUAREZ, S.A. DE C.V.",,,,,,,
"COTEMAR, S.A. DE C.V.","CONSTRUCCIÓN, MANTENIMIENTO Y SOLUCIONES AL CAMPO ENERGÉTICO, S.A. DE C.V.",,,,,,,
"COTEMAR, S.A. DE C.V.",LUIS BERNARDO DOMINGUEZ FLORES,,,,,,,
"COTEMAR, S.A. DE C.V.","SISTEMAS INTEGRALES AMBIENTALES DE REHABILITACIONES, S.A. DE C.V.",,,,,,,
"COTEMAR, S.A. DE C.V.","TFS TURBINE FIELD SOLUTIONS, S.A. DE C.V.",,,,,,,
"COTEMAR, S.A. DE C.V.","SERVICIOS TECNICOS INDUSTRIALES INTERNACIONALES, S.A. DE C.V.",,,,,,,
"COTEMAR, S.A. DE C.V.","SERVICIOS Y SUMINISTROS DE TECNOLOGIAS DE INFORMACIÓN Y COMUNICACIÓN DE CARMEN, S. DE R.L. DE C.V.",,,,,,,
"COTEMAR, S.A. DE C.V.",JOSE FRANCISCO ALEGRIA AUDELO,,,,,,,
"COTEMAR, S.A. DE C.V.","AXESS OPERATIONS DE MEXICO, S. DE R.L. DE C.V.",,,,,,,
"COTEMAR, S.A. DE C.V.","PROCESS AND CONTROLS SERVICES, S.A. DE C.V.",,,,,,,
"COTEMAR, S.A. DE C.V.","CORPORATIVO INDUSTRIAL Y COMERCIAL, S.A. DE C.V.",,,,,,,
"COTEMAR, S.A. DE C.V.","HARREN & PARTNER TRANSPORT AND INSTALLATION, S.A.P.I. DE C.V.",,,,,,,
"COTEMAR, S.A. DE C.V.","MCS NETWORK SOLUTION, S.A. DE C.V.",,,,,,,
"COTEMAR, S.A. DE C.V.","H. ROSEN DE MEXICO, S. DE R.L. DE C.V.",,,,,,,
"COTEMAR, S.A. DE C.V.","ALLDORA LATIONAMERICA, S.A. DE C.V.",,,,,,,
"COTEMAR, S.A. DE C.V.",PROESA ELECTRÓNICA S.A. DE C.V.,,,,,,,
"COTEMAR, S.A. DE C.V.","HELLO, CONSULTORES EXPERTOS EN TIC Y NEGOCIOS INTELIGENTES, S. DE R.L. DE C.V.",,,,,,,
"COTEMAR, S.A. DE C.V.","NORCONTROL INSPECCION, S.A. DE C.V.",,,,,,,
"COTEMAR, S.A. DE C.V.","SERVICIOS PROFESIONALES AH KIM PECH, S.A. DE C.V.",,,,,,,
"COTEMAR, S.A. DE C.V.","TEISSA INGENIERIA Y FABRICACIONES, S. DE R.L. DE C.V.",,,,,,,
"COTEMAR, S.A. DE C.V.","LUDA PROVEEDURIA Y SERVICIOS, S.A. DE C.V.",,,,,,,
"COTEMAR, S.A. DE C.V.",JORGE ISRAEL MARTINEZ ZAMACONA,,,,,,,
"COTEMAR, S.A. DE C.V.",INSTITUTO NACIONAL DE ELECTRICIDAD Y ENERGIAS LIMPIAS,,,,,,,
"COTEMAR, S.A. DE C.V.",ROMAN ARTURO MAYO SANCHEZ,,,,,,,
"COTEMAR, S.A. DE C.V.","GRUPO INDUSTRIAL RAGA, S.A. DE C.V.",,,,,,,
"COTEMAR, S.A. DE C.V.","ALCATRAZ APOYO MARITIMO INTEGRAL, S.A. DE C.V.",,,,,,,
"COTEMAR, S.A. DE C.V.","SENSIA ENERGY, S.A. DE C.V.",,,,,,,
"COTEMAR, S.A. DE C.V.","DEEP SEA SERVICES, S.A DE C.V.",,,,,,,
"COTEMAR, S.A. DE C.V.","BLUE POWER ANDAMIOS Y SERVICIOS, S. DE R.L. DE C.V.",,,,,,,
"COTEMAR, S.A. DE C.V.","SERVICIO Y CONSULTORIA ESPECIALIZADOS DEL CARMEN, S.A. DE C.V.",,,,,,,
"COTEMAR, S.A. DE C.V.","LION NAVAL ARCHITECTS, S.A. DE C.V.",,,,,,,
"COTEMAR, S.A. DE C.V.","SERVICIO MECANICA INTEGRAL A FLOTE, S.A.S. DE C.V.",,,,,,,
"COTEMAR, S.A. DE C.V.","AIS ENGINEERING & SCAFFOLDING SERVICES, S.A. DE C.V.",,,,,,,
"COTEMAR, S.A. DE C.V.","EQUIPOS INDUSTRIALES DEL GOLFO, S.A. DE C.V.",,,,,,,
"COTEMAR, S.A. DE C.V.","ELEKTRO ENNERGY, S.A. DE C.V.",,,,,,,
"COTEMAR, S.A. DE C.V.","GLOBAL GROUP KASSTEN, S.A.",,,,,,,
"COTEMAR, S.A. DE C.V.","HPS OFFSHORE SERVICES, S.A. DE C.V.",,,,,,,
"COTEMAR, S.A. DE C.V.","TECPESA MEXICO, S.A.",,,,,,,
"COTEMAR, S.A. DE C.V.","SERVICIOS INDUSTRIALES AS, S.A. DE C.V.",,,,,,,
"COTEMAR, S.A. DE C.V.",TSC MANUFACTURING AND SUPPLY LLC,,,,,,,
"COTEMAR, S.A. DE C.V.","SERVICIOS BREIXO, S.A. DE C.V.",,,,,,,
"COCINAS DEL MAR, S.A. DE C.V.","GO SEA LOGISTICS AND SERVICES, S.A. DE C.V.",,,,,,,
"COCINAS DEL MAR, S.A. DE C.V.","OPERADORA DE TRANSPORTES Y MANIOBRAS DEL SUR, S.A. DE C.V.",,,,,,,
"COCINAS DEL MAR, S.A. DE C.V.","ECO LOGICA, S.A. DE C.V.",,,,,,,
"COCINAS DEL MAR, S.A. DE C.V.","CORPORATIVO INTEGRAL DEL GOLFO ADC, S.A. DE C.V.",,,,,,,
"COCINAS DEL MAR, S.A. DE C.V.","SERVICIOS Y SOLUCIONES UNIVERSALES, S.A. DE C.V.",,,,,,,
"COCINAS DEL MAR, S.A. DE C.V.","CASA DIAZ QUIMICOS, S.A. DE C.V.",,,,,,,
"COCINAS DEL MAR, S.A. DE C.V.","GLOBAL GROUP KASSTEN, S.A.",,,,,,,
"APOYO LOGÍSTICO MARINO, S.A. DE C.V.","CORPORATIVO INTEGRAL DEL GOLFO ADC, S.A. DE C.V.",,,,,,,
"APOYO LOGÍSTICO MARINO, S.A. DE C.V.","NOMAR-MEX CHANDLERS, S. DE R.L. DE C.V.",,,,,,,
"APOYO LOGÍSTICO MARINO, S.A. DE C.V.","TRANSPORTE DE PERSONAL Y TURISMO GABYCA, S.A. DE C.V.",,,,,,,
"APOYO LOGÍSTICO MARINO, S.A. DE C.V.","BUREAU VERITAS MEXICANA, S.A. DE C.V.",,,,,,,
"APOYO LOGÍSTICO MARINO, S.A. DE C.V.",INSTITUTO NACIONAL DE ELECTRICIDAD Y ENERGIAS LIMPIAS,,,,,,,
"APOYO LOGÍSTICO MARINO, S.A. DE C.V.","GLOBAL GROUP KASSTEN, S.A.",,,,,,,
"  SERVICIOS OFFSHORE, S.A. DE C.V.","FUJISAN SURVEY, S.A. DE C.V.",,,,,,,
"APOYO LOGÍSTICO AÉREO, S.A. DE C.V.","GO SEA LOGISTICS AND SERVICES, S.A. DE C.V.",,,,,,,
"APOYO LOGÍSTICO AÉREO, S.A. DE C.V.","LABORATORIO PARA AGUAS Y ALIMENTOS DE CAMPECHE, S.C.",,,,,,,
"APOYO LOGÍSTICO AÉREO, S.A. DE C.V.","BINSMAR, S.A. DE C.V.",,,,,,,
"APOYO LOGÍSTICO AÉREO, S.A. DE C.V.","SERVICIOS Y SUMINISTROS ELECTRONICOS GARBAR, S.A. DE C.V.",,,,,,,
"APOYO LOGÍSTICO AÉREO, S.A. DE C.V.","ECO LOGICA, S.A DE C.V.",,,,,,,
"APOYO LOGÍSTICO AÉREO, S.A. DE C.V.","ARCOM, S.A. DE C.V.",,,,,,,
"APOYO LOGÍSTICO AÉREO, S.A. DE C.V.","CORPORATIVO INTEGRAL DEL GOLFO ADC, S.A. DE C.V.",,,,,,,
"APOYO LOGÍSTICO AÉREO, S.A. DE C.V.","ASESORIA Y CAPACITACION EN RIESGOS INDUSTRIALES, S.C.",,,,,,,
"APOYO LOGÍSTICO AÉREO, S.A. DE C.V.","SERVICIOS Y DISTRIBUCION OPI, S.A. DE C.V.",,,,,,,
"APOYO LOGÍSTICO AÉREO, S.A. DE C.V.","PROVEEDORA Y CONSTRUCTORA MEXICANA, S.A. DE C.V.",,,,,,,
"APOYO LOGÍSTICO AÉREO, S.A. DE C.V.",GREGORIO SUAREZ CRUZ,,,,,,,
"APOYO LOGÍSTICO AÉREO, S.A. DE C.V.",LUIS ALBERTO CILIA SALIGAN,,,,,,,
"APOYO LOGÍSTICO AÉREO, S.A. DE C.V.",LANDY VANESSA DEL SOCORRO HERRERA DOMINGUEZ,,,,,,,
"APOYO LOGÍSTICO AÉREO, S.A. DE C.V.",PATRICIA FRANCO DIAZ,,,,,,,
"APOYO LOGÍSTICO AÉREO, S.A. DE C.V.",ERMILO GUADALUPE MARTINEZ LOPEZ,,,,,,,
"APOYO LOGÍSTICO AÉREO, S.A. DE C.V.",ESTEBAN MORENO GARAY,,,,,,,
"APOYO LOGÍSTICO AÉREO, S.A. DE C.V.","CONSTRUCCION, MANTENIMIENTO Y SOLUCIONES AL CAMPO ENERGETICO, S.A. DE C.V.",,,,,,,
"APOYO LOGÍSTICO AÉREO, S.A. DE C.V.",LUIS BERNARDO DOMINGUEZ FLORES,,,,,,,
"SERVICIOS INDUSTRIA PETROLERA, S.A. DE C.V.","NOMAR-MEX CHANDLERS, S. DE R.L. DE C.V.",,,,,,,
"SERVICIOS INDUSTRIA PETROLERA, S.A. DE C.V.","GRUPO ANTENA SOCIAL, S.A. DE C.V.",,,,,,,
"SERVICIOS INDUSTRIA PETROLERA, S.A. DE C.V.",GUSTAVO MAURILIO CHAVOLLA NAVA,,,,,,,
"SERVICIOS INDUSTRIA PETROLERA, S.A. DE C.V.","SERVICIOS ESTRATEGICOS MANF, S.A. DE C.V.",,,,,,,
"SERVICIOS INDUSTRIA PETROLERA, S.A. DE C.V.","BUREAU VERITAS MEXICANA, S.A. DE C.V.",,,,,,,
"SERVICIOS INDUSTRIA PETROLERA, S.A. DE C.V.","GLOBAL GROUP KASSTEN, S.A.",,,,,,,
" SERVICIOS DE EXTRACCIÓN PETROLERA LIFTING DE MÉXICO, S.A. DE C.V.","VMS ENERGY DE MEXICO, S. DE R.L. DE C.V.",,,,,,,
" SERVICIOS DE EXTRACCIÓN PETROLERA LIFTING DE MÉXICO, S.A. DE C.V.","COTER, S.A. DE C.V.",,,,,,,
" SERVICIOS DE EXTRACCIÓN PETROLERA LIFTING DE MÉXICO, S.A. DE C.V.","GO SEA LOGISTICS AND SERVICES, S.A. DE C.V.",,,,,,,
" SERVICIOS DE EXTRACCIÓN PETROLERA LIFTING DE MÉXICO, S.A. DE C.V.","EXTERRAN ENERGY DE MEXICO, S. DE R.L. DE C.V.",,,,,,,
" SERVICIOS DE EXTRACCIÓN PETROLERA LIFTING DE MÉXICO, S.A. DE C.V.","QUANTUM GOLFO Y CARIBE, S. DE R.L. DE C.V.",,,,,,,
" SERVICIOS DE EXTRACCIÓN PETROLERA LIFTING DE MÉXICO, S.A. DE C.V.","SERVICIOS INTEGRALES MIRAMAR, S.A. DE C.V.",,,,,,,
" SERVICIOS DE EXTRACCIÓN PETROLERA LIFTING DE MÉXICO, S.A. DE C.V.","ABB MEXICO, S.A. DE C.V.",,,,,,,
" SERVICIOS DE EXTRACCIÓN PETROLERA LIFTING DE MÉXICO, S.A. DE C.V.","SERVICIOS PETROLEROS OLIMPIA, S.A. DE C.V.",,,,,,,
" SERVICIOS DE EXTRACCIÓN PETROLERA LIFTING DE MÉXICO, S.A. DE C.V.","SERVICIOS LASCA, S.A. DE C.V.",,,,,,,
" SERVICIOS DE EXTRACCIÓN PETROLERA LIFTING DE MÉXICO, S.A. DE C.V.","GEOLIS, S.A. DE C.V.",,,,,,,
" SERVICIOS DE EXTRACCIÓN PETROLERA LIFTING DE MÉXICO, S.A. DE C.V.","REINMEX, S.A. DE C.V.",,,,,,,
" SERVICIOS DE EXTRACCIÓN PETROLERA LIFTING DE MÉXICO, S.A. DE C.V.","CONSTRUCTORA AZTECA DEL SURESTE, S.A. DE C.V.",,,,,,,
" SERVICIOS DE EXTRACCIÓN PETROLERA LIFTING DE MÉXICO, S.A. DE C.V.","PROYECTOS Y CONSTRUCCIONES METALICAS VILLEGAS, S.A. DE C.V.",,,,,,,
" SERVICIOS DE EXTRACCIÓN PETROLERA LIFTING DE MÉXICO, S.A. DE C.V.","CONSTRUCTORA Y ABASTECEDORA CALZADAS, S.A. DE C.V.",,,,,,,
